language;category;theme;groupId;groupTitle;subtopicId;subtopicTitle;title;synthesiaId;order;;;
en;health;psykisk_helse;where_to_get_help;Where To get Help;ugent_medical_help;Urgent Medical Help;Urgent Medical Help;;;;;
en;health;psykisk_helse;where_to_get_help;Where To get Help;services_in_oslo_municipality;Services In Oslo Municipality;Services In Oslo Municipality;;;;;
en;health;psykisk_helse;where_to_get_help;Where To get Help;voluntary_organisations_in_oslo;Voluntary Organisation In Oslo;Voluntary Organisation In Oslo;;;;;
en;health;psykisk_helse;where_to_get_help;Where To get Help;summary;Summary;Summary;;;;;
en;health;psykisk_helse;general_practitioner;General Practitioner;introduction;Introduction;Introduction ;;;;;
en;health;psykisk_helse;general_practitioner;General Practitioner;new_words;New Words;New Words;;;;;
en;health;psykisk_helse;general_practitioner;General Practitioner;general_practitioner;General Practitioner;General Practitioner;;;;;
en;health;psykisk_helse;general_practitioner;General Practitioner;your_rights;Your Rights;Your Rights;;;;;
en;health;psykisk_helse;general_practitioner;General Practitioner;summary;Summary;Summary;;;;;
en;health;psykisk_helse;stress;Stress;introduction;Introduction;Introduction ;;;;;
en;health;psykisk_helse;stress;Stress;new_words;New Words;New Words;;;;;
en;health;psykisk_helse;stress;Stress;understanding_stress;Understanding Stress;Understanding Stress;;;;;
en;health;psykisk_helse;stress_as_newcomer;Stress As a Newcomer To Norway;stress_as_a_newcomer_to_norway;Stress As a Newcomer To Norway;Stress As a Newcomer To Norway;;;;;
en;health;psykisk_helse;stress_as_newcomer;Stress As a Newcomer To Norway;case;Case;Case;;;;;
en;health;psykisk_helse;managing_stress;Managing Stress;managing_stress;Managing Stress;Managing Stress;;;;;
en;health;psykisk_helse;managing_stress;Managing Stress;case;Case;Case;;;;;
en;health;psykisk_helse;stress;Stress ;summary;Summary;Summary;;;;;
en;health;psykisk_helse;bullying;Bullying;introduction;Introduction;Introduction;;;;;
en;health;psykisk_helse;bullying;Bullying;new_words;New Words;New Words;;;;;
en;health;psykisk_helse;bullying;Bullying;bullying;Bullying;Bullying;;;;;
en;health;psykisk_helse;bullying;Bullying;consequences;Consequences;Consequences;;;;;
en;health;psykisk_helse;bullying;Bullying;the_bully;The Bully;The Bully;;;;;
en;health;psykisk_helse;bullying;Bullying;where_to_get_support;Where To Get Support;Where To Get Support;;;;;
en;health;psykisk_helse;bullying;Bullying;have_you_been_a_bully;Have You Been A bully;Have You Been A bully;;;;;
en;health;psykisk_helse;bullying;Bullying;summary;Summary;Summary;;;;;
;;;;;;;;;;;;
en;health;kvinners_reproduktive_helse;;;womenss_external_genitalia;Womens´s external genitalia;Womens´s external genitalia;;;;;
